,t,v
554,0.0277,-140.0
555,0.02775,-140.0
556,0.0278,-140.0
557,0.02785,-140.0
558,0.0279,-140.0
559,0.02795,-140.0
560,0.028,-140.0
561,0.02805,-140.0
562,0.0281,-140.0
563,0.02815,-140.0
564,0.0282,-140.0
565,0.02825,-140.0
566,0.0283,-140.0
567,0.02835,-140.0
568,0.0284,-140.0
569,0.02845,-140.0
570,0.0285,-140.0
571,0.02855,-140.0
572,0.0286,-140.0
573,0.02865,-140.0
574,0.0287,-140.0
575,0.02875,-140.0
576,0.0288,-140.0
577,0.02885,-140.0
578,0.0289,-140.0
579,0.02895,-140.0
580,0.029,-140.0
581,0.02905,-140.0
582,0.0291,-140.0
583,0.02915,-140.0
584,0.0292,-140.0
585,0.02925,-140.0
586,0.0293,-140.0
587,0.02935,-140.0
588,0.0294,-140.0
589,0.02945,-140.0
590,0.0295,-140.0
591,0.02955,-140.0
592,0.0296,-140.0
593,0.02965,-140.0
594,0.0297,-140.0
595,0.02975,-140.0
596,0.0298,-140.0
597,0.02985,-140.0
598,0.0299,-140.0
599,0.02995,-140.0
600,0.03,-140.0
601,0.03005,-140.0
602,0.0301,-140.0
603,0.03015,-140.0
604,0.0302,-140.0
605,0.03025,-140.0
606,0.0303,-140.0
607,0.03035,-140.0
608,0.0304,-140.0
609,0.03045,-140.0
610,0.0305,-140.0
611,0.03055,-140.0
612,0.0306,-140.0
613,0.03065,-140.0
614,0.0307,-140.0
615,0.03075,-140.0
616,0.0308,-140.0
617,0.03085,-140.0
618,0.0309,-140.0
619,0.03095,-140.0
620,0.031,-140.0
621,0.03105,-140.0
622,0.0311,-140.0
623,0.03115,-140.0
624,0.0312,-140.0
625,0.03125,-140.0
626,0.0313,-140.0
627,0.03135,-140.0
628,0.0314,-140.0
629,0.03145,-140.0
630,0.0315,-140.0
631,0.03155,-140.0
632,0.0316,-140.0
633,0.03165,-140.0
634,0.0317,-140.0
635,0.03175,-140.0
636,0.0318,-140.0
637,0.03185,-140.0
638,0.0319,-140.0
639,0.03195,-140.0
640,0.032,-140.0
641,0.03205,-140.0
642,0.0321,-140.0
643,0.03215,-140.0
644,0.0322,-140.0
645,0.03225,-140.0
646,0.0323,-140.0
647,0.03235,-140.0
648,0.0324,-140.0
649,0.03245,-140.0
650,0.0325,-140.0
651,0.03255,-140.0
652,0.0326,-140.0
653,0.03265,-140.0
654,0.0327,-140.0
655,0.03275,-140.0
656,0.0328,-140.0
657,0.03285,-140.0
658,0.0329,-140.0
659,0.03295,-140.0
660,0.033,-140.0
661,0.03305,-140.0
662,0.0331,-140.0
663,0.03315,-140.0
664,0.0332,-140.0
665,0.03325,-140.0
666,0.0333,-140.0
667,0.03335,-140.0
668,0.0334,-140.0
669,0.03345,-140.0
670,0.0335,-140.0
671,0.03355,-140.0
672,0.0336,-140.0
673,0.03365,-140.0
674,0.0337,-140.0
675,0.03375,-140.0
676,0.0338,-140.0
677,0.03385,-140.0
678,0.0339,-140.0
679,0.03395,-140.0
680,0.034,-140.0
681,0.03405,-140.0
682,0.0341,-140.0
683,0.03415,-140.0
684,0.0342,-140.0
685,0.03425,-140.0
686,0.0343,-140.0
687,0.03435,-140.0
688,0.0344,-140.0
689,0.03445,-140.0
690,0.0345,-140.0
691,0.03455,-140.0
692,0.0346,-140.0
693,0.03465,-140.0
694,0.0347,-140.0
695,0.03475,-140.0
696,0.0348,-140.0
697,0.03485,-140.0
698,0.0349,-140.0
699,0.03495,-140.0
700,0.035,-140.0
701,0.03505,-140.0
702,0.0351,-140.0
703,0.03515,-140.0
704,0.0352,-140.0
705,0.03525,-140.0
706,0.0353,-140.0
707,0.03535,-140.0
708,0.0354,-140.0
709,0.03545,-140.0
710,0.0355,-140.0
711,0.03555,-140.0
712,0.0356,-140.0
713,0.03565,-140.0
714,0.0357,-140.0
715,0.03575,-140.0
716,0.0358,-140.0
717,0.03585,-140.0
718,0.0359,-140.0
719,0.03595,-140.0
720,0.036,-140.0
721,0.03605,-140.0
722,0.0361,-140.0
723,0.03615,-140.0
724,0.0362,-140.0
725,0.03625,-140.0
726,0.0363,-140.0
727,0.03635,-140.0
728,0.0364,-140.0
729,0.03645,-140.0
730,0.0365,-140.0
731,0.03655,-140.0
732,0.0366,-140.0
733,0.03665,-140.0
734,0.0367,-140.0
735,0.03675,-140.0
736,0.0368,-140.0
737,0.03685,-140.0
738,0.0369,-140.0
739,0.03695,-140.0
740,0.037,-140.0
741,0.03705,-140.0
742,0.0371,-140.0
743,0.03715,-140.0
744,0.0372,-140.0
745,0.03725,-140.0
746,0.0373,-140.0
747,0.03735,-140.0
748,0.0374,-140.0
749,0.03745,-140.0
750,0.0375,-140.0
751,0.03755,-140.0
752,0.0376,-140.0
753,0.03765,-140.0
754,0.0377,-140.0
755,0.03775,-140.0
756,0.0378,-140.0
757,0.03785,-140.0
758,0.0379,-140.0
759,0.03795,-140.0
760,0.038,-140.0
761,0.03805,-140.0
762,0.0381,-140.0
763,0.03815,-140.0
764,0.0382,-140.0
765,0.03825,-140.0
766,0.0383,-140.0
767,0.03835,-140.0
768,0.0384,-140.0
769,0.03845,-140.0
770,0.0385,-140.0
771,0.03855,-140.0
772,0.0386,-140.0
773,0.03865,-140.0
774,0.0387,-140.0
775,0.03875,-140.0
776,0.0388,-140.0
777,0.03885,-140.0
778,0.0389,-140.0
779,0.03895,-140.0
